date,category,commodity,unit,gtqprice,usdprice
1998-01-15,cereals and tubers,Maize (white),100 Pounds,67.75,10.8923
1998-01-15,cereals and tubers,Maize (yellow),100 Pounds,77.36,12.4373
1998-01-15,cereals and tubers,Potatoes,100 Pounds,129.17,20.7669
1998-01-15,cereals and tubers,Rice (medium quality),100 Pounds,178.75,28.7379
1998-01-15,cereals and tubers,Sorghum,100 Pounds,53.75,8.6415
1998-01-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,75.0,12.0579
1998-01-15,pulses and nuts,Beans (black),100 Pounds,188.75,30.3457
1998-01-15,pulses and nuts,Beans (red),100 Pounds,321.82,51.7395
1998-01-15,pulses and nuts,Beans (white),100 Pounds,375.45,60.3617
1998-01-15,vegetables and fruits,Bananas (medium size),100 Pounds,62.0,9.9678
1998-01-15,vegetables and fruits,Cabbage,27 KG,21.25,3.4164
1998-01-15,vegetables and fruits,Carrots,13.92 KG,22.0,3.537
1998-01-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,170.0,27.3312
1998-01-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,22.55,3.6254
1998-01-15,vegetables and fruits,Plantains (medium size),20.5 KG,55.4,8.9068
1998-02-15,cereals and tubers,Maize (white),100 Pounds,58.5,9.3956
1998-02-15,cereals and tubers,Maize (yellow),100 Pounds,89.64,14.397
1998-02-15,cereals and tubers,Potatoes,100 Pounds,153.33,24.6261
1998-02-15,cereals and tubers,Rice (medium quality),100 Pounds,190.0,30.5157
1998-02-15,cereals and tubers,Sorghum,100 Pounds,58.33,9.3683
1998-02-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,40.0,6.4243
1998-02-15,pulses and nuts,Beans (black),100 Pounds,192.5,30.9172
1998-02-15,pulses and nuts,Beans (red),100 Pounds,303.33,48.7174
1998-02-15,pulses and nuts,Beans (white),100 Pounds,392.0,62.9586
1998-02-15,vegetables and fruits,Bananas (medium size),100 Pounds,62.5,10.038
1998-02-15,vegetables and fruits,Cabbage,27 KG,21.75,3.4932
1998-02-15,vegetables and fruits,Carrots,13.92 KG,15.0,2.4091
1998-02-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,280.0,44.9704
1998-02-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,30.5,4.8986
1998-02-15,vegetables and fruits,Plantains (medium size),20.5 KG,61.11,9.8148
1998-03-15,cereals and tubers,Maize (white),100 Pounds,69.0,11.0263
1998-03-15,cereals and tubers,Maize (yellow),100 Pounds,88.5,14.1425
1998-03-15,cereals and tubers,Potatoes,100 Pounds,81.43,13.0127
1998-03-15,cereals and tubers,Rice (high quality),100 Pounds,214.0,34.1976
1998-03-15,cereals and tubers,Rice (medium quality),100 Pounds,190.0,30.3624
1998-03-15,cereals and tubers,Sorghum,100 Pounds,56.07,8.9601
1998-03-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,39.0,6.2323
1998-03-15,pulses and nuts,Beans (black),100 Pounds,238.0,38.0329
1998-03-15,pulses and nuts,Beans (red),100 Pounds,259.64,41.491
1998-03-15,pulses and nuts,Beans (white),100 Pounds,403.93,64.5489
1998-03-15,vegetables and fruits,Bananas (medium size),100 Pounds,59.86,9.5658
1998-03-15,vegetables and fruits,Cabbage,27 KG,18.0,2.8764
1998-03-15,vegetables and fruits,Carrots,13.92 KG,18.6,2.9723
1998-03-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,298.0,47.621
1998-03-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,30.71,4.9075
1998-03-15,vegetables and fruits,Plantains (medium size),20.5 KG,56.07,8.9601
1998-04-15,cereals and tubers,Maize (white),100 Pounds,72.67,11.5533
1998-04-15,cereals and tubers,Maize (yellow),100 Pounds,89.17,14.1765
1998-04-15,cereals and tubers,Potatoes,100 Pounds,71.25,11.3275
1998-04-15,cereals and tubers,Rice (high quality),100 Pounds,228.33,36.3005
1998-04-15,cereals and tubers,Rice (medium quality),100 Pounds,191.67,30.4722
1998-04-15,cereals and tubers,Sorghum,100 Pounds,57.08,9.0747
1998-04-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,53.33,8.4785
1998-04-15,pulses and nuts,Beans (black),100 Pounds,266.67,42.3959
1998-04-15,pulses and nuts,Beans (red),100 Pounds,235.42,37.4277
1998-04-15,pulses and nuts,Beans (white),100 Pounds,399.58,63.5262
1998-04-15,vegetables and fruits,Bananas (medium size),100 Pounds,60.17,9.566
1998-04-15,vegetables and fruits,Cabbage,27 KG,21.0,3.3386
1998-04-15,vegetables and fruits,Carrots,13.92 KG,25.0,3.9746
1998-04-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,220.0,34.9762
1998-04-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,25.42,4.0413
1998-04-15,vegetables and fruits,Plantains (medium size),20.5 KG,57.75,9.1812
1998-05-15,cereals and tubers,Maize (white),100 Pounds,73.0,11.6242
1998-05-15,cereals and tubers,Maize (yellow),100 Pounds,71.25,11.3455
1998-05-15,cereals and tubers,Potatoes,100 Pounds,100.05,15.9315
1998-05-15,cereals and tubers,Rice (high quality),100 Pounds,207.5,33.0414
1998-05-15,cereals and tubers,Rice (medium quality),100 Pounds,180.0,28.6624
1998-05-15,cereals and tubers,Sorghum,100 Pounds,55.66,8.8631
1998-05-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,76.25,12.1417
1998-05-15,pulses and nuts,Beans (black),100 Pounds,265.75,42.3169
1998-05-15,pulses and nuts,Beans (red),100 Pounds,278.12,44.2866
1998-05-15,pulses and nuts,Beans (white),100 Pounds,389.38,62.0032
1998-05-15,vegetables and fruits,Bananas (medium size),100 Pounds,60.08,9.5669
1998-05-15,vegetables and fruits,Cabbage,27 KG,26.25,4.1799
1998-05-15,vegetables and fruits,Carrots,13.92 KG,24.5,3.9013
1998-05-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,200.0,31.8471
1998-05-15,vegetables and fruits,Plantains (medium size),20.5 KG,56.58,9.0096
1998-06-15,cereals and tubers,Maize (white),100 Pounds,75.06,11.9713
1998-06-15,cereals and tubers,Maize (yellow),100 Pounds,77.56,12.37
1998-06-15,cereals and tubers,Potatoes,100 Pounds,128.85,20.5502
1998-06-15,cereals and tubers,Rice (high quality),100 Pounds,206.88,32.9952
1998-06-15,cereals and tubers,Rice (medium quality),100 Pounds,184.38,29.4067
1998-06-15,cereals and tubers,Sorghum,100 Pounds,54.23,8.6491
1998-06-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,136.56,21.7799
1998-06-15,pulses and nuts,Beans (black),100 Pounds,326.56,52.0829
1998-06-15,pulses and nuts,Beans (red),100 Pounds,320.83,51.1691
1998-06-15,pulses and nuts,Beans (white),100 Pounds,379.17,60.4737
1998-06-15,vegetables and fruits,Bananas (medium size),100 Pounds,60.0,9.5694
1998-06-15,vegetables and fruits,Cabbage,27 KG,26.31,4.1962
